time_seconds,current_time,x,y
34.324538,2024-05-27T21:24:40.882Z,821,767
34.341193,2024-05-27T21:24:40.882Z,821,763
34.357847,2024-05-27T21:24:40.882Z,817,767
34.374502,2024-05-27T21:24:40.882Z,808,749
34.391157,2024-05-27T21:24:40.882Z,810,741
34.407811,2024-05-27T21:24:40.882Z,815,768
34.424466,2024-05-27T21:24:40.882Z,815,770
34.441121,2024-05-27T21:24:40.882Z,810,762
34.457776,2024-05-27T21:24:40.882Z,810,763
34.47443,2024-05-27T21:24:40.882Z,810,755
34.491085,2024-05-27T21:24:40.882Z,809,753
34.50774,2024-05-27T21:24:40.882Z,812,769
34.524395,2024-05-27T21:24:40.882Z,813,772
34.54105,2024-05-27T21:24:40.882Z,810,774
34.557705,2024-05-27T21:24:40.882Z,811,774
34.574359,2024-05-27T21:24:40.882Z,815,771
34.591014,2024-05-27T21:24:40.882Z,810,771
34.60767,2024-05-27T21:24:40.882Z,805,765
34.624324,2024-05-27T21:24:40.882Z,812,764
34.640979,2024-05-27T21:24:40.882Z,815,767
34.657634,2024-05-27T21:24:40.882Z,809,768
34.674288,2024-05-27T21:24:40.882Z,827,746
34.690943,2024-05-27T21:24:40.882Z,968,737
34.707598,2024-05-27T21:24:40.882Z,973,766
34.724253,2024-05-27T21:24:40.882Z,965,763
34.740907,2024-05-27T21:24:40.882Z,964,762
34.757563,2024-05-27T21:24:40.882Z,966,762
34.774218,2024-05-27T21:24:40.882Z,970,761
34.790872,2024-05-27T21:24:40.882Z,970,765
34.807527,2024-05-27T21:24:40.882Z,965,762
34.824182,2024-05-27T21:24:40.882Z,969,759
34.840836,2024-05-27T21:24:40.882Z,973,760
34.857491,2024-05-27T21:24:40.882Z,971,760
34.874146,2024-05-27T21:24:40.882Z,970,759
34.8908,2024-05-27T21:24:40.882Z,969,761
34.907455,2024-05-27T21:24:40.882Z,970,761
34.924111,2024-05-27T21:24:40.882Z,968,761
34.940765,2024-05-27T21:24:40.882Z,974,760
34.95742,2024-05-27T21:24:40.882Z,952,797
34.974075,2024-05-27T21:24:40.882Z,979,803
34.990731,2024-05-27T21:24:40.882Z,978,802
35.007385,2024-05-27T21:24:41.882Z,972,804
35.02404,2024-05-27T21:24:41.882Z,976,806
35.040695,2024-05-27T21:24:41.882Z,978,808
35.057349,2024-05-27T21:24:41.882Z,1015,768
35.074004,2024-05-27T21:24:41.882Z,1017,766
35.090659,2024-05-27T21:24:41.882Z,983,806
35.107313,2024-05-27T21:24:41.882Z,978,802
35.123968,2024-05-27T21:24:41.882Z,976,802
35.140623,2024-05-27T21:24:41.882Z,1013,810
35.157277,2024-05-27T21:24:41.882Z,1044,813
35.173933,2024-05-27T21:24:41.882Z,1082,805
35.190588,2024-05-27T21:24:41.882Z,1081,805
35.207242,2024-05-27T21:24:41.882Z,1084,791
35.223897,2024-05-27T21:24:41.882Z,1083,789
35.240553,2024-05-27T21:24:41.882Z,1087,810
35.257208,2024-05-27T21:24:41.882Z,1090,817
35.273862,2024-05-27T21:24:41.882Z,1078,819
35.290517,2024-05-27T21:24:41.882Z,1074,813
35.307172,2024-05-27T21:24:41.882Z,1083,809
35.323826,2024-05-27T21:24:41.882Z,1083,811
35.340481,2024-05-27T21:24:41.882Z,1086,810
35.357136,2024-05-27T21:24:41.882Z,1084,811
35.37379,2024-05-27T21:24:41.882Z,1075,824
35.390445,2024-05-27T21:24:41.882Z,1044,719
35.4071,2024-05-27T21:24:41.882Z,947,619
35.423754,2024-05-27T21:24:41.882Z,749,415
35.44041,2024-05-27T21:24:41.882Z,750,391
35.457065,2024-05-27T21:24:41.882Z,752,383
35.473719,2024-05-27T21:24:41.882Z,752,396
35.490374,2024-05-27T21:24:41.882Z,755,394
35.507029,2024-05-27T21:24:41.882Z,760,389
35.523684,2024-05-27T21:24:41.882Z,758,388
35.540338,2024-05-27T21:24:41.882Z,759,393
35.556994,2024-05-27T21:24:41.882Z,762,392
35.573649,2024-05-27T21:24:41.882Z,758,384
35.590303,2024-05-27T21:24:41.882Z,755,382
35.606958,2024-05-27T21:24:41.882Z,754,384
35.623613,2024-05-27T21:24:41.882Z,757,385
35.640267,2024-05-27T21:24:41.882Z,750,381
35.656922,2024-05-27T21:24:41.882Z,751,380
35.673577,2024-05-27T21:24:41.882Z,752,378
35.690231,2024-05-27T21:24:41.882Z,738,374
35.706887,2024-05-27T21:24:41.882Z,733,378
35.723542,2024-05-27T21:24:41.882Z,737,381
35.740196,2024-05-27T21:24:41.882Z,734,376
35.756851,2024-05-27T21:24:41.882Z,729,372
35.773506,2024-05-27T21:24:41.882Z,730,377
35.790161,2024-05-27T21:24:41.882Z,730,378
35.806815,2024-05-27T21:24:41.882Z,729,373
35.82347,2024-05-27T21:24:41.882Z,733,372
35.840125,2024-05-27T21:24:41.882Z,733,368
35.85678,2024-05-27T21:24:41.882Z,728,365
35.873435,2024-05-27T21:24:41.882Z,727,365
35.89009,2024-05-27T21:24:41.882Z,765,364
35.906744,2024-05-27T21:24:41.882Z,807,360
35.923399,2024-05-27T21:24:41.882Z,825,354
35.940055,2024-05-27T21:24:41.882Z,825,351
35.956709,2024-05-27T21:24:41.882Z,825,351
35.973364,2024-05-27T21:24:41.882Z,826,354
35.990019,2024-05-27T21:24:41.882Z,821,353
36.006673,2024-05-27T21:24:42.882Z,814,351
36.023328,2024-05-27T21:24:42.882Z,819,350
36.039983,2024-05-27T21:24:42.882Z,817,350
36.056638,2024-05-27T21:24:42.882Z,816,350
36.073293,2024-05-27T21:24:42.882Z,820,354
36.089948,2024-05-27T21:24:42.882Z,818,357
36.106603,2024-05-27T21:24:42.882Z,816,356
36.123257,2024-05-27T21:24:42.882Z,817,353
36.139912,2024-05-27T21:24:42.882Z,815,352
36.156567,2024-05-27T21:24:42.882Z,811,353
36.173221,2024-05-27T21:24:42.882Z,806,351
36.189877,2024-05-27T21:24:42.882Z,807,351
36.206532,2024-05-27T21:24:42.882Z,817,350
36.223186,2024-05-27T21:24:42.882Z,817,352
36.239841,2024-05-27T21:24:42.882Z,818,350
36.256496,2024-05-27T21:24:42.882Z,813,348
36.27315,2024-05-27T21:24:42.882Z,798,356
36.289805,2024-05-27T21:24:42.882Z,787,355
36.306461,2024-05-27T21:24:42.882Z,785,352
36.323116,2024-05-27T21:24:42.882Z,784,353
36.33977,2024-05-27T21:24:42.882Z,785,351
36.356425,2024-05-27T21:24:42.882Z,786,351
36.37308,2024-05-27T21:24:42.882Z,790,350
36.389734,2024-05-27T21:24:42.882Z,792,353
36.406389,2024-05-27T21:24:42.882Z,788,356
36.423044,2024-05-27T21:24:42.882Z,788,355
36.439698,2024-05-27T21:24:42.882Z,786,356
36.456353,2024-05-27T21:24:42.882Z,802,357
36.473008,2024-05-27T21:24:42.882Z,834,347
36.489663,2024-05-27T21:24:42.882Z,920,346
36.506318,2024-05-27T21:24:42.882Z,916,357
36.522973,2024-05-27T21:24:42.882Z,917,358
36.539628,2024-05-27T21:24:42.882Z,921,356
36.556283,2024-05-27T21:24:42.882Z,921,360
36.572938,2024-05-27T21:24:42.882Z,924,367
36.589593,2024-05-27T21:24:42.882Z,923,369
36.606247,2024-05-27T21:24:42.882Z,924,376
36.622902,2024-05-27T21:24:42.882Z,920,374
36.639557,2024-05-27T21:24:42.882Z,920,364
36.656211,2024-05-27T21:24:42.882Z,919,365
36.672866,2024-05-27T21:24:42.882Z,917,365
36.689521,2024-05-27T21:24:42.882Z,918,369
36.706175,2024-05-27T21:24:42.882Z,921,371
36.72283,2024-05-27T21:24:42.882Z,921,370
36.739486,2024-05-27T21:24:42.882Z,926,376
36.75614,2024-05-27T21:24:42.882Z,928,379
36.772795,2024-05-27T21:24:42.882Z,926,378
36.78945,2024-05-27T21:24:42.882Z,921,375
36.806104,2024-05-27T21:24:42.882Z,943,377
36.82276,2024-05-27T21:24:42.882Z,954,425
36.839415,2024-05-27T21:24:42.882Z,982,422
36.85607,2024-05-27T21:24:42.882Z,981,423
36.872724,2024-05-27T21:24:42.882Z,978,423
36.889379,2024-05-27T21:24:42.882Z,978,421
36.906034,2024-05-27T21:24:42.882Z,982,427
