x,y,time_seconds
785,512,19.01706
784,511,19.033715
786,516,19.05037
785,513,19.067024
784,513,19.083679
786,515,19.100334
788,519,19.116987
774,520,19.133642
513,689,19.150297
436,734,19.166951
212,970,19.183606
215,961,19.200261
217,961,19.216916
222,961,19.23357
226,958,19.250225
229,956,19.26688
231,957,19.283534
229,957,19.300189
231,959,19.316844
236,961,19.333498
236,963,19.350153
234,965,19.366808
240,968,19.383462
244,966,19.400117
244,961,19.416772
241,961,19.433426
237,960,19.450081
227,968,19.466736
318,987,19.483391
333,977,19.500044
342,987,19.516699
345,988,19.533354
344,979,19.550008
346,981,19.566663
345,975,19.583318
345,976,19.599972
342,981,19.616627
335,978,19.633282
333,974,19.649936
336,972,19.666591
